keep_id,keep_title,drop_id,drop_title,similarity,decision
82101622eb211ea2a203,AMD deploys high-performance infrastructure using Intel in G,a1924836b568af62a95b,Intel deploys high-performance infrastructure using AMD in G,0.9571593999862671,NEAR_DUPLICATE_DROP
82101622eb211ea2a203,AMD deploys high-performance infrastructure using Intel in G,b4cd784c19b0a581be5b,AMD deploys high-performance infrastructure using Salesforce,0.9306681752204895,NEAR_DUPLICATE_DROP
28ba6868cd049f750a5c,Microsoft announces major technological breakthrough in Data,37bcbaa1ac324f27b84d,Databricks announces major technological breakthrough in Mic,0.9516684412956238,NEAR_DUPLICATE_DROP
28ba6868cd049f750a5c,Microsoft announces major technological breakthrough in Data,ca010623761ebda614c7,Databricks announces major technological breakthrough in Mic,0.9516684412956238,NEAR_DUPLICATE_DROP
4e193d6d925ba5f12031,Intel deploys high-performance infrastructure using Thales i,06de5024b1e4f4c96dcd,Thales deploys high-performance infrastructure using Intel i,0.9598126411437988,NEAR_DUPLICATE_DROP
a7064634ea0d36dc147b,Salesforce expands strategic enterprise partnership with IBM,753fe58fc31c6a0b2100,IBM expands strategic enterprise partnership with Salesforce,0.9285691976547241,NEAR_DUPLICATE_DROP
a7064634ea0d36dc147b,Salesforce expands strategic enterprise partnership with IBM,b03a5ccf3ff1f589a817,IBM expands strategic enterprise partnership with Salesforce,0.9285691976547241,NEAR_DUPLICATE_DROP
bbef5d7379a8ccc71d39,Salesforce appoints veteran industry leader to drive growth ,c5233f60e391ee39d8fd,NVIDIA appoints veteran industry leader to drive growth at S,0.9609450101852417,NEAR_DUPLICATE_DROP
d92b075f76cfe9660071,OpenAI leads next-generation venture round for Keysight in G,cf8a8f1bb81af7af65a1,Keysight leads next-generation venture round for OpenAI in G,0.9711278676986694,NEAR_DUPLICATE_DROP
b125b65b107ea26687ed,Databricks establishes foundational joint venture with Accen,109e5f3375611f1c3bae,Accenture establishes foundational joint venture with Databr,0.9677877426147461,NEAR_DUPLICATE_DROP
f7ca45dd508d9be0c0b3,Dell establishes foundational joint venture with Oracle in G,8f3ccb02e7dce5ca0efc,Oracle establishes foundational joint venture with Dell in G,0.9300849437713623,NEAR_DUPLICATE_DROP
